GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,MASS_P50,HIMASS_LIM,WARNING,index,mpa_z,model_u,model_g,model_r,model_i,model_z,ext_u,ext_g,ext_r,ext_i,ext_z
47051,720158,J154805.11+212915.7,2168,53886,563,21.487707,0.0338,10.195,8.5,0,758192,0.0338094,18.3011,16.5731,15.7528,15.3632,15.062,0.2187,0.161,0.1167,0.0885,0.0628
20994,255013,J154806.09+291208.4,1390,53142,277,29.202341,0.03307,10.152,8.5,0,471720,0.033074092,17.855,16.1856,15.4809,15.1444,14.8836,0.1554,0.1144,0.0829,0.0629,0.0446
25685,252673,J154807.86+091001.6,1726,53137,353,9.167134,0.03905,10.846,9.05,0,596138,0.039049458,17.6736,15.7132,14.8378,14.4158,14.0743,0.2064,0.1519,0.1102,0.0835,0.0592
25682,252674,J154811.74+090424.5,1726,53137,341,9.073495,0.03927,10.592,8.79,0,596132,0.03926871,17.9414,16.0587,15.2232,14.8235,14.5196,0.2042,0.1502,0.109,0.0826,0.0586
42382,727297,J154816.27+253137.3,1850,53786,373,25.527042,0.04168,10.134,8.5,0,655108,0.041688696,19.2165,17.4736,16.6819,16.2628,15.8151,0.3066,0.2256,0.1636,0.1241,0.088
25694,715143,J154816.36+090657.3,1726,53137,386,9.115923,0.04173,10.183,8.5,0,596161,0.041717038,18.86,17.0253,16.2326,15.8573,15.5449,0.2053,0.151,0.1095,0.0831,0.0589
25669,252726,J154820.28+080924.7,1726,53137,282,8.156863,0.0421,10.545,8.75,0,596090,0.042133726,20.3384,18.4878,17.1335,16.5629,16.2319,0.1832,0.1348,0.0978,0.0741,0.0526
47096,720164,J154833.82+225820.2,2169,53556,148,22.972303,0.04192,10.128,8.5,0,758366,0.041931253,17.3253,16.0814,15.563,15.2527,15.0352,0.2989,0.2199,0.1595,0.1209,0.0857
10686,253563,J154834.67+023910.9,594,52045,62,2.65304,0.04331,10.651,8.85,0,161400,0.043313634,18.0496,16.2877,15.4176,14.9824,14.6388,0.5209,0.3833,0.278,0.2108,0.1495
42379,252169,J154838.30+252414.9,1850,53786,364,25.404158,0.03252,11.047,9.25,0,655101,0.032517992,16.8502,14.9411,14.0048,13.5601,13.2182,0.2933,0.2158,0.1565,0.1187,0.0841
