GASSID,AGC,PLATEID,MJD,FIBERID,RA,DEC,Z,MASS,SFR_SDSS,SFR,SSFR
109124,0,473,51929,597,140.8051300049,2.0601930618,0.0172364,9.16507,0.08654463,0.1182892,-10.09212
113133,0,855,52375,411,207.9093933105,5.5596809387,0.01878274,9.316916,0.2249521,0.3920254,-9.723601
124027,533,420,51871,183,13.1163196564,14.5182876587,0.01824617,9.780994,0.1411757,0.7726135,-9.893032
111087,0,2511,53882,242,175.8525238037,21.6506767273,0.01170295,9.315574,0.2525806,0.2792308,-9.869611
101035,0,399,51817,477,20.9781513214,0.2822908461,0.01830711,9.648148,1.024802,1.069116,-9.619123
111088,0,1991,53446,539,178.5740356445,32.8609962463,0.01063904,9.310841,0.2202268,0.4057535,-9.702579
110074,0,2477,54058,8,161.3622131348,21.814956665,0.01934342,9.653739,0.2216614,0.5055713,-9.949957
109125,0,473,51929,565,140.8056640625,2.6013388634,0.01673774,9.424822,0.3319022,0.6354559,-9.621737
111090,210768,1225,52760,585,176.5514526367,10.5955343247,0.01023465,9.087952,0.1544543,0.6825981,-9.253787
111091,6883,2223,53793,44,178.7439117432,26.2025089264,0.01716195,9.700876,0.1127276,0.6010049,-9.921998
111092,0,2508,53875,426,175.0720672607,17.8014125824,0.01194784,9.188723,0.04408391,0.3237859,-9.678465
110075,5687,998,52750,27,157.3145446777,6.1281285286,0.01188369,9.791711,0.0202843,0.7946157,-9.891554
110076,722161,2350,53765,70,155.9592437744,26.2173461914,0.01659204,9.017413,0.1068637,0.09018806,-10.06226
112110,225365,845,52381,293,187.2722625732,3.881975174,0.01406451,9.010995,0.1095292,0.08703441,-10.0713
113134,8796,855,52375,559,208.2902069092,4.9609465599,0.01696883,9.161037,0.2073672,0.2104416,-9.837906
108137,0,2282,53683,243,133.6950531006,20.7130012512,0.01281276,9.003039,0.1769579,0.2120108,-9.676682
111093,0,2497,54154,107,171.9131164551,23.7579364777,0.01972606,9.277242,1.077606,1.010255,-9.272811
108139,4361,1926,53317,68,125.4761123657,22.6413211823,0.01248417,9.03045,0.2204551,0.602874,-9.250223
108140,721315,1588,52965,307,129.9235839844,27.7256317139,0.01854932,9.014456,0.1196107,0.1680654,-9.788978
109126,721497,2294,54524,501,143.7461395264,25.8256778717,0.01317043,9.144584,0.246604,0.1601283,-9.940116
108141,180269,1926,53317,31,126.5807113647,22.8766651154,0.01766365,9.480806,0.3365891,0.3165298,-9.980392
