GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,z,MASS_P50,HIMASS_LIM
5084,204645,J100624.83+011358.4,502,51957,281,151.60347,1.232891,0.04552,10.809,9.01
54086,721925,J100625.87+260456.6,2347,53757,265,151.60783,26.082403,0.04821,10.93,9.13
5001,204646,J100627.07+005753.3,501,52235,44,151.6128,0.964824,0.04561,10.09,8.5
53918,721926,J100628.62+273314.2,2345,53757,24,151.6193,27.553946,0.0492,10.472,8.67
26271,200068,J100628.77+125214.0,1745,53061,359,151.61989,12.870563,0.03071,10.086,8.5
5086,204648,J100629.94+010411.7,502,51957,288,151.62479,1.06992,0.04507,10.095,8.5
53785,718335,J100631.08+231523.2,2343,53735,225,151.62955,23.25645,0.04156,10.145,8.5
5006,204652,J100631.56+010830.2,501,52235,59,151.63152,1.141736,0.04548,11.027,9.23
33977,206078,J100638.34+331350.6,1952,53378,407,151.65977,33.230747,0.04979,10.037,8.5
53786,718337,J100640.64+230123.2,2343,53735,226,151.66936,23.023136,0.04074,10.006,8.5
5085,204653,J100644.14+010747.4,502,51957,285,151.68393,1.129838,0.03259,10.051,8.5
20511,203144,J100644.42+094719.8,1308,53053,138,151.68512,9.788834,0.04556,10.183,8.5
55954,718339,J100646.59+191319.8,2373,53768,302,151.69415,19.22218,0.04475,10.005,8.5
5087,204655,J100649.48+012726.2,502,51957,302,151.70618,1.457295,0.04634,10.511,8.71
26268,202721,J100652.37+125914.3,1745,53061,352,151.71822,12.98732,0.03742,10.275,8.5
33870,206082,J100653.76+350630.5,1951,53389,197,151.72403,35.108482,0.03824,10.393,8.59
18778,202189,J100653.88+092312.8,1236,52751,538,151.72453,9.386907,0.03198,10.439,8.64
53819,721933,J100701.78+240644.2,2343,53735,483,151.75743,24.11228,0.04614,10.039,8.5
53821,718344,J100702.99+235827.5,2343,53735,498,151.76248,23.974321,0.04548,10.903,9.1
14913,203420,J100704.88+070058.4,996,52641,415,151.77037,7.016241,0.03129,10.585,8.79
33873,206086,J100705.08+350623.9,1951,53389,200,151.7712,35.106647,0.03809,10.507,8.71
33869,200078,J100708.05+345920.1,1951,53389,195,151.78357,34.988926,0.03861,10.555,8.76
55902,201278,J100710.18+185702.1,2372,53768,200,151.79242,18.9506,0.03085,10.368,8.57
53967,721935,J100714.14+283419.3,2345,53757,611,151.80891,28.572039,0.04629,10.227,8.5
55263,718348,J100717.22+210031.7,2364,53737,147,151.82178,21.008821,0.02866,10.869,9.07
8578,201281,J100720.65+040445.4,573,52325,511,151.83607,4.079301,0.02861,10.263,8.5
53784,718351,J100722.95+230234.1,2343,53735,188,151.84566,23.04281,0.04134,10.404,8.6
53776,718352,J100725.21+230114.8,2343,53735,140,151.85506,23.020784,0.04176,10.14,8.5
26263,202954,J100725.83+133433.7,1745,53061,335,151.85767,13.576052,0.03675,10.418,8.62
33871,206096,J100726.45+343923.0,1951,53389,198,151.86021,34.65641,0.03783,10.071,8.5
20504,202303,J100726.51+103014.6,1308,53053,112,151.86047,10.50408,0.04238,10.104,8.5
55922,718355,J100728.55+191704.2,2372,53768,518,151.86899,19.284504,0.03449,10.503,8.7
8550,204258,J100729.30+034025.1,573,52325,171,151.87212,3.673644,0.02834,10.42,8.62
33893,206100,J100729.89+352810.6,1951,53389,491,151.87456,35.46962,0.04235,10.467,8.67
53783,718358,J100732.35+230131.7,2343,53735,182,151.88483,23.02548,0.04178,10.685,8.89
190,201715,J100734.13+001638.0,269,51910,582,151.89223,0.277247,0.03346,10.26,8.5
54084,721939,J100736.63+254654.3,2347,53757,188,151.90263,25.781767,0.04783,10.721,8.92
53775,718360,J100738.05+225856.0,2343,53735,123,151.90857,22.982237,0.04179,10.438,8.64
33922,206109,J100747.19+322918.0,1952,53378,155,151.94666,32.488358,0.0497,10.049,8.5
33862,206111,J100749.63+350302.8,1951,53389,166,151.9568,35.05078,0.03834,10.022,8.5
26256,202725,J100751.26+122736.4,1745,53061,304,151.96362,12.460128,0.03014,10.492,8.69
26269,200096,J100754.18+132326.9,1745,53061,355,151.97577,13.390829,0.03399,10.932,9.13
55262,718363,J100755.03+205111.6,2364,53737,144,151.97931,20.853224,0.03784,10.012,8.5
196,201285,J100756.41+001619.8,269,51910,623,151.98505,0.272174,0.03345,10.746,8.95
4999,204660,J100758.24+011608.3,501,52235,8,151.99268,1.268986,0.04516,10.715,8.92
26264,202955,J100804.77+133559.4,1745,53061,338,152.01988,13.59985,0.03594,10.372,8.57
26210,202728,J100813.78+122909.3,1744,53055,634,152.05743,12.485931,0.03088,10.543,8.74
55951,718372,J100815.20+191839.0,2373,53768,277,152.06334,19.310852,0.04452,10.39,8.59
8579,204065,J100816.03+045455.3,573,52325,537,152.0668,4.915366,0.04198,11.078,9.28
5098,204487,J100817.14+021457.3,502,51957,385,152.07143,2.24927,0.04591,10.414,8.61
33894,206121,J100825.29+352718.8,1951,53389,513,152.10541,35.455235,0.03758,10.112,8.5
18781,203155,J100825.58+091732.2,1236,52751,575,152.10658,9.292303,0.04579,10.528,8.73
26276,202957,J100828.80+130330.8,1745,53061,395,152.12001,13.058558,0.03007,10.153,8.5
26211,200106,J100834.71+123319.7,1744,53055,636,152.14465,12.55548,0.03057,10.944,9.14
26261,202958,J100835.74+133759.4,1745,53061,326,152.14894,13.63319,0.03578,10.478,8.68
20496,203157,J100836.75+093706.5,1308,53053,45,152.15314,9.618486,0.04637,10.795,9
34005,206126,J100842.74+295241.1,1953,53358,185,152.17809,29.87809,0.04239,10.638,8.84
18821,5473,J100845.01+092737.7,1237,52762,321,152.18756,9.460472,0.02629,10.782,8.98
54129,721945,J100846.17+272339.2,2348,53757,297,152.19238,27.39423,0.03888,10.059,8.5
53823,721946,J100848.66+241050.4,2343,53735,515,152.20274,24.180693,0.03691,10.452,8.65
33859,206131,J100854.29+344831.2,1951,53389,152,152.22623,34.808674,0.0379,10.405,8.61
